Rho,Potential
-10.0,-5.1050564486748524e-05
-9.98999499749875,-5.1374026041748036e-05
-9.9799899949975,-5.1699953548911476e-05
-9.969984992496249,-5.2028368875747815e-05
-9.959979989994997,-5.2359294110043894e-05
-9.949974987493746,-5.269275156234232e-05
-9.939969984992496,-5.302876376845096e-05
-9.929964982491246,-5.336735349198265e-05
-9.919959979989995,-5.3708543726927186e-05
-9.909954977488745,-5.4052357700254775e-05
-9.899949974987495,-5.4398818874552195e-05
-9.889944972486242,-5.474795095069214e-05
-9.879939969984992,-5.509977787053528e-05
-9.869934967483742,-5.545432381966647e-05
-9.859929964982491,-5.581161323016537e-05
-9.849924962481241,-5.617167078341133e-05
-9.83991995997999,-5.653452141292386e-05
-9.829914957478739,-5.690019030723861e-05
-9.819909954977488,-5.726870291281923e-05
-9.809904952476238,-5.7640084937006786e-05
-9.799899949974987,-5.8014362351005236e-05
-9.789894947473737,-5.8391561392905196e-05
-9.779889944972487,-5.877170857074589e-05
-9.769884942471236,-5.915483066561559e-05
-9.759879939969984,-5.954095473479151e-05
-9.749874937468734,-5.993010811491921e-05
-9.739869934967484,-6.032231842523288e-05
-9.729864932466233,-6.071761357081581e-05
-9.719859929964983,-6.111602174590308e-05
-9.709854927463732,-6.151757143722547e-05
-9.699849924962482,-6.192229142739684e-05
-9.68984492246123,-6.233021079834423e-05
-9.67983991995998,-6.274135893478153e-05
-9.66983491745873,-6.315576552772843e-05
-9.659829914957479,-6.35734605780737e-05
-9.649824912456229,-6.399447440018427e-05
-9.639819909954978,-6.441883762556093e-05
-9.629814907453726,-6.484658120654071e-05
-9.619809904952476,-6.527773642004672e-05
-9.609804902451225,-6.571233487138686e-05
-9.599799899949975,-6.615040849810113e-05
-9.589794897448725,-6.659198957385857e-05
-9.579789894947474,-6.703711071240432e-05
-9.569784892446224,-6.74858048715586e-05
-9.559779889944972,-6.793810535726657e-05
-9.549774887443721,-6.839404582770088e-05
-9.539769884942471,-6.885366029741811e-05
-9.52976488244122,-6.93169831415685e-05
-9.51975987993997,-6.978404910016047e-05
-9.50975487743872,-7.025489328238164e-05
-9.499749874937468,-7.07295511709747e-05
-9.489744872436217,-7.120805862667159e-05
-9.479739869934967,-7.169045189268533e-05
-9.469734867433717,-7.217676759926042e-05
-9.459729864932466,-7.266704276828287e-05
-9.449724862431216,-7.316131481795115e-05
-9.439719859929966,-7.365962156750778e-05
-9.429714857428714,-7.416200124203383e-05
-9.419709854927463,-7.466849247730564e-05
-9.409704852426213,-7.517913432471676e-05
-9.399699849924962,-7.56939662562637e-05
-9.389694847423712,-7.621302816959816e-05
-9.379689844922462,-7.67363603931456e-05
-9.369684842421211,-7.726400369129226e-05
-9.35967983991996,-7.779599926964023e-05
-9.349674837418709,-7.833238878033243e-05
-9.339669834917459,-7.887321432744882e-05
-9.329664832416208,-7.941851847247363e-05
-9.319659829914958,-7.996834423983606e-05
-9.309654827413707,-8.052273512252415e-05
-9.299649824912457,-8.108173508777432e-05
-9.289644822411205,-8.164538858283646e-05
-9.279639819909955,-8.221374054081585e-05
-9.269634817408704,-8.278683638659448e-05
-9.259629814907454,-8.336472204283055e-05
-9.249624812406203,-8.394744393603893e-05
-9.239619809904953,-8.453504900275349e-05
-9.229614807403703,-8.512758469577232e-05
-9.21960980490245,-8.572509899048701e-05
-9.2096048024012,-8.632764039129688e-05
-9.19959979989995,-8.693525793811087e-05
-9.1895947973987,-8.754800121293615e-05
-9.17958979489745,-8.816592034655688e-05
-9.169584792396199,-8.878906602530265e-05
-9.159579789894947,-8.941748949790948e-05
-9.149574787393696,-9.005124258247307e-05
-9.139569784892446,-9.069037767349782e-05
-9.129564782391196,-9.133494774904105e-05
-9.119559779889945,-9.198500637795432e-05
-9.109554777388695,-9.26406077272245e-05
-9.099549774887445,-9.330180656941412e-05
-9.089544772386192,-9.39686582902045e-05
-9.079539769884942,-9.464121889604096e-05
-9.069534767383692,-9.531954502188411e-05
-9.059529764882441,-9.600369393906689e-05
-9.049524762381191,-9.669372356325936e-05
-9.03951975987994,-9.738969246254377e-05
-9.029514757378688,-9.809165986560017e-05
-9.019509754877438,-9.879968567000501e-05
-9.009504752376188,-9.951383045064504e-05
-8.999499749874937,-0.00010023415546824679
-8.989494747373687,-0.00010096072267802397
-8.979489744872437,-0.00010169359473844572
-8.969484742371186,-0.00010243283502012483
-8.959479739869934,-0.00010317850761483132
-8.949474737368684,-0.0001039306773446294
-8.939469734867433,-0.00010468940977114384
-8.929464732366183,-0.00010545477120495322
-8.919459729864933,-0.00010622682871511575
-8.909454727363682,-0.00010700565013882782
-8.899449724862432,-0.00010779130409121731
-8.88944472236118,-0.00010858385997527465
-8.87943971985993,-0.0001093833879919221
-8.86943471735868,-0.00011018995915022571
-8.859429714857429,-0.0001110036452777499
-8.849424712356178,-0.00011182451903105764
-8.839419709854928,-0.00011265265390635925
-8.829414707353678,-0.00011348812425031046
-8.819409704852426,-0.0001143310052709643
-8.809404702351175,-0.00011518137304887542
-8.799399699849925,-0.00011603930454836465
-8.789394697348675,-0.00011690487762894089
-8.779389694847424,-0.00011777817105688558
-8.769384692346174,-0.00011865926451700218
-8.759379689844923,-0.00011954823862453233
-8.749374687343671,-0.00012044517493724178
-8.739369684842421,-0.00012135015596767814
-8.72936468234117,-0.00012226326519560452
-8.71935967983992,-0.00012318458708060977
-8.70935467733867,-0.00012411420707489994
-8.69934967483742,-0.00012505221163627215
-8.689344672336167,-0.00012599868824127514
-8.679339669834917,-0.00012695372539855762
-8.669334667333667,-0.00012791741266241077
-8.659329664832416,-0.00012888984064650247
-8.649324662331166,-0.00012987110103781203
-8.639319659829916,-0.00013086128661076422
-8.629314657328663,-0.0001318604912415687
-8.619309654827413,-0.00013286880992276448
-8.609304652326163,-0.00013388633877797816
-8.599299649824912,-0.00013491317507689337
-8.589294647323662,-0.00013594941725043828
-8.579289644822412,-0.00013699516490619314
-8.569284642321161,-0.00013805051884402367
-8.55927963981991,-0.0001391155810719396
-8.549274637318659,-0.00014019045482218515
-8.539269634817408,-0.00014127524456756586
-8.529264632316158,-0.0001423700560380116
-8.519259629814908,-0.00014347499623738338
-8.509254627313657,-0.0001445901734605257
-8.499249624812407,-0.00014571569731056818
-8.489244622311155,-0.0001468516787164834
-8.479239619809904,-0.00014799822995089943
-8.469234617308654,-0.00014915546464817746
-8.459229614807404,-0.00015032349782275408
-8.449224612306153,-0.00015150244588775367
-8.439219609804903,-0.00015269242667387725
-8.429214607303653,-0.00015389355944856877
-8.4192096048024,-0.0001551059649354657
-8.40920460230115,-0.00015632976533413783
-8.3991995997999,-0.00015756508434011858
-8.38919459729865,-0.0001588120471652343
-8.379189594797399,-0.00016007078055823475
-8.369184592296149,-0.00016134141282573146
-8.359179589794898,-0.00016262407385344774
-8.349174587293646,-0.0001639188951277858
-8.339169584792396,-0.00016522600975771477
-8.329164582291146,-0.00016654555249698906
-8.319159579789895,-0.00016787765976669563
-8.309154577288645,-0.00016922246967814112
-8.299149574787394,-0.0001705801220560818
-8.289144572286144,-0.00017195075846230303
-8.279139569784892,-0.00017333452221955282
-8.269134567283642,-0.00017473155843583405
-8.259129564782391,-0.00017614201402906693
-8.24912456228114,-0.00017756603775211926
-8.23911955977989,-0.00017900378021821678
-8.229114557278638,-0.0001804553939267376
-8.219109554777388,-0.0001819210332893967
-8.209104552276138,-0.00018340085465682848
-8.199099549774887,-0.00018489501634557062
-8.189094547273637,-0.00018640367866545982
-8.179089544772387,-0.00018792700394744229
-8.169084542271136,-0.00018946515657180938
-8.159079539769884,-0.000191018302996863
-8.149074537268634,-0.00019258661178801626
-8.139069534767383,-0.00019417025364734317
-8.129064532266133,-0.00019576940144357572
-8.119059529764883,-0.0001973842302425624
-8.109054527263632,-0.0001990149173381933
-8.099049524762382,-0.00020066164228379953
-8.08904452226113,-0.0002023245869240344
-8.07903951975988,-0.00020400393542724493
-8.069034517258629,-0.00020569987431834325
